,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,14,14,12,8,18,11,10,8,14,19,14,13,9,15
1,ABS,Cotton,Nylon,PC,PE,PET,PEVA,PLA,Polyester,PP,PS,PU,PVC,R
